name,hashedname,DevEUI
GSCHB.3.012 - School HOGENT,983beed9c4a0f9722c0e5b1c037ac11d0a2985d9c301119b05195a4429d5db77,A81758FFFE056DDA
GSCHB.3.013 - School HOGENT,a8c3120b1ba74c0c23c70fb5d126f63fb22f88d37396e67846a1427eac67df18,A81758FFFE056DDB
GSCHB.3.014 - School HOGENT,4d3374b0bda13c07d79e31427c87a4908597aae8d0464e968d4be431054b65d8,A81758FFFE056DDC
GSCHB.3.015 - School HOGENT,a0013bd7613bcb4d48dc8caae9693323b540db2eae3cd3ee61e45f6a93c66940,A81758FFFE056DDD
GSCHB.3.026 - School HOGENT,00d4d996611bf2548ec7d54fef00d9da73fbd634da39eba5d3f0651e6f85fc6c,A81758FFFE056DDE
GSCHB.3.027 - School HOGENT,2f4cb7569eb6fde85722fd7c19be9e010e3c368ff0d8545f0e6dd448d6d5d497,A81758FFFE056DDF
GSCHB.3.006 - School HOGENT,5394f8ac96def0f7f5a1d67c7a1f6510400d81b33b811433284256cf44394be1,A81758FFFE056DEA
GSCHB.2.039 - School HOGENT,9242f4168897e08f00f498cf9ced8e71361fd88748d7ac0ee0ae50f6909456df,A81758FFFE056DEB
GSCHB.2.035 - School HOGENT,3c5d2dd4443e51ce5fb18ae7beddc7b77bb2ddb713d1b85f78b7ec0835af0f9e,A81758FFFE056DEC
GSCHB.2.033 - School HOGENT,6900a279edca8179426e66b030f59eb6718201a259a5862525fb950afcdae260,A81758FFFE056DED
GSCHB.2.031 - School HOGENT,48407ca2e7c12dc94af924807194829606f385136737f142b74696871541b796,A81758FFFE056DEE
GSCHB.2.030 - School HOGENT,ba7e73dbff4b780fc38228e8c9751856cb62258b3358936d22e80d2efff8e39a,A81758FFFE056DEF
GSCHB.2.027 - School HOGENT,2a127a0c3323361f28cc1639ecf928cfc39bcad9cfa36316b7cca2fa43a45c35,A81758FFFE056DF0
GSCHB.2.014 - School HOGENT,640475df46f7bee42dbfd945e8aaaa7cff9434e5c8fb7321ed52dd1ec9be3afc,A81758FFFE056DF1
GSCHB.2.013 - School HOGENT,0a6ea762fc6625d097c518d359a2c8e8f28927d9cd9904cc17d54d07177c50d2,A81758FFFE056DF2
GSCHB.2.012 - School HOGENT,c7fb1923d54bc65b144f2c58139a35b9e65833e15a12c4e10ea3654e4b9b2c32,A81758FFFE056DF3
